Ensembl,Symbol,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000139329,LUM,7,1,206,4
ENSG00000011465,DCN,79,74,2468,398
ENSG00000257242,LINC01619,0,0,0,0
ENSG00000133639,BTG1,687,712,691,292
ENSG00000205057,CLLU1OS,0,0,0,0
ENSG00000257127,CLLU1,21,26,2,8
ENSG00000214215,C12orf74,0,0,0,0
ENSG00000187510,PLEKHG7,0,0,0,2
ENSG00000102189,EEA1,325,286,181,195
ENSG00000173598,NUDT4,463,472,166,103
ENSG00000177889,UBE2N,84,110,216,76
ENSG00000198015,MRPL42,232,232,268,164
ENSG00000120833,SOCS2,15,66,200,26
ENSG00000169372,CRADD,192,176,151,124
ENSG00000136040,PLXNC1,1,1,5,0
ENSG00000173588,CEP83,178,173,4,15
ENSG00000057704,TMCC3,18,17,30,5
ENSG00000184752,NDUFA12,31,32,141,162
ENSG00000120798,NR2C1,60,58,30,36
ENSG00000180263,FGD6,9,3,16,26
ENSG00000028203,VEZT,108,92,151,91
ENSG00000111142,METAP2,193,149,428,245
ENSG00000136014,USP44,0,0,0,0
ENSG00000074527,NTN4,136,121,99,62
ENSG00000139343,SNRPF,14,17,221,225
ENSG00000165972,CCDC38,22,18,18,6
ENSG00000139344,AMDHD1,279,239,289,255
ENSG00000084110,HAL,405,336,309,91
ENSG00000111144,LTA4H,73,68,193,60
ENSG00000111145,ELK3,85,78,100,40
ENSG00000059758,CDK17,71,71,30,21
ENSG00000188596,CFAP54,478,417,40,80
ENSG00000139350,NEDD1,1,0,54,28
ENSG00000120802,TMPO,126,83,154,119
ENSG00000075415,SLC25A3,470,389,1619,1031
ENSG00000166130,IKBIP,93,77,92,53
ENSG00000120868,APAF1,49,27,40,28
ENSG00000185046,ANKS1B,23,41,12,12
ENSG00000180219,FAM71C,0,0,0,0
ENSG00000111647,UHRF1BP1L,164,142,169,73
ENSG00000075089,ACTR6,44,41,44,53
ENSG00000166153,DEPDC4,38,21,2,7
ENSG00000136021,SCYL2,66,62,86,110
ENSG00000012504,NR1H4,169,151,409,313
ENSG00000139354,GAS2L3,7,10,27,12
ENSG00000151572,ANO4,0,0,0,0
ENSG00000256870,SLC5A8,0,0,0,1
ENSG00000120800,UTP20,27,25,58,40
ENSG00000120805,ARL1,231,246,302,181
ENSG00000166211,SPIC,0,0,1,5
ENSG00000196091,MYBPC1,0,0,0,0
ENSG00000111666,CHPT1,263,243,232,581
ENSG00000139351,SYCP3,101,102,84,166
ENSG00000111670,GNPTAB,114,146,49,60
ENSG00000136048,DRAM1,37,21,92,21
ENSG00000120860,WASHC3,51,49,139,131
ENSG00000075188,NUP37,11,17,44,15
ENSG00000185480,PARPBP,7,9,1,1
ENSG00000183395,PMCH,0,0,0,0
ENSG00000017427,IGF1,70,83,656,672
ENSG00000171759,PAH,4135,3921,2054,3805
ENSG00000139352,ASCL1,1,1,0,0
ENSG00000179088,C12orf42,0,0,1,0
ENSG00000136011,STAB2,165,168,50,91
ENSG00000111696,NT5DC3,51,54,40,36
ENSG00000166598,HSP90B1,1998,1906,6412,1868
ENSG00000204954,C12orf73,29,35,22,27
ENSG00000139372,TDG,47,34,73,40
ENSG00000120820,GLT8D2,0,0,54,2
ENSG00000111727,HCFC2,118,98,56,60
ENSG00000120837,NFYB,19,10,214,82
ENSG00000198431,TXNRD1,343,344,215,186
ENSG00000255150,EID3,0,0,16,0
ENSG00000171310,CHST11,0,2,16,0
ENSG00000136052,SLC41A2,80,70,278,231
ENSG00000151131,C12orf45,9,14,29,40
ENSG00000136010,ALDH1L2,11,6,3,18
ENSG00000136051,WASHC4,84,111,234,141
ENSG00000136044,APPL2,178,179,74,55
ENSG00000235162,C12orf75,0,1,79,26
ENSG00000074590,NUAK1,66,61,58,30
ENSG00000136026,CKAP4,33,38,351,205
ENSG00000166046,TCP11L2,52,39,0,23
ENSG00000013503,POLR3B,243,228,109,58
ENSG00000111783,RFX4,9,6,0,2
ENSG00000111785,RIC8B,3,7,6,24
ENSG00000151135,TMEM263,381,322,231,104
ENSG00000120832,MTERF2,67,67,95,50
ENSG00000008405,CRY1,0,0,51,9
ENSG00000151136,BTBD11,6,8,0,1
ENSG00000136045,PWP1,70,71,244,76
ENSG00000110851,PRDM4,13,22,29,24
ENSG00000174600,CMKLR1,1,2,53,8
ENSG00000198855,FICD,17,15,14,14
ENSG00000075856,SART3,3,1,81,37
ENSG00000136003,ISCU,225,200,303,211
ENSG00000183160,TMEM119,20,13,8,3
ENSG00000110876,SELPLG,0,0,138,42
ENSG00000110880,CORO1C,175,166,181,99
ENSG00000084112,SSH1,128,107,25,70
ENSG00000110887,DAO,63,56,20,108
ENSG00000166111,SVOP,51,47,8,19
ENSG00000135093,USP30,266,231,98,73
ENSG00000189046,ALKBH2,65,70,78,46
ENSG00000076248,UNG,133,115,177,81
ENSG00000076555,ACACB,695,611,122,371
ENSG00000139445,FOXN4,0,0,0,0
ENSG00000174527,MYO1H,0,1,5,0
ENSG00000110906,KCTD10,18,23,57,35
ENSG00000151148,UBE3B,107,116,125,112
ENSG00000139428,MMAB,390,394,349,645
ENSG00000110921,MVK,173,160,163,218
ENSG00000139438,FAM222A,0,0,8,12
ENSG00000111199,TRPV4,11,6,8,23
ENSG00000139433,GLTP,88,81,131,46
ENSG00000139437,TCHP,64,62,52,48
ENSG00000139436,GIT2,126,119,102,60
ENSG00000076513,ANKRD13A,93,110,57,81
ENSG00000174456,C12orf76,36,50,15,41
ENSG00000122970,IFT81,144,141,47,20
ENSG00000174437,ATP2A2,92,99,424,220
ENSG00000196510,ANAPC7,60,56,99,82
ENSG00000111229,ARPC3,288,272,754,315
ENSG00000111231,GPN3,125,149,28,46
ENSG00000204856,FAM216A,12,12,18,14
ENSG00000111237,VPS29,219,204,620,318
ENSG00000151164,RAD9B,15,21,0,2
ENSG00000196850,PPTC7,24,12,30,10
ENSG00000204852,TCTN1,129,119,94,38
ENSG00000122986,HVCN1,6,3,35,18
ENSG00000186298,PPP1CC,114,86,374,184
ENSG00000111249,CUX2,15,7,50,84
ENSG00000198324,FAM109A,21,21,34,27
ENSG00000111252,SH2B3,102,66,118,96
ENSG00000204842,ATXN2,487,414,103,157
ENSG00000089234,BRAP,18,19,72,49
ENSG00000111271,ACAD10,198,192,92,75
ENSG00000257767,AC002996.1,993,901,426,185
ENSG00000111275,ALDH2,3617,3299,2363,2624
ENSG00000089022,MAPKAPK5,190,167,211,85
ENSG00000198270,TMEM116,93,90,36,24
ENSG00000089248,ERP29,434,369,889,1069
ENSG00000111300,NAA25,91,95,17,50
ENSG00000135148,TRAFD1,74,59,184,57
ENSG00000173064,HECTD4,243,195,17,133
ENSG00000089009,RPL6,783,702,1767,755
ENSG00000179295,PTPN11,164,159,359,272
ENSG00000089169,RPH3A,4,4,1,0
ENSG00000089127,OAS1,86,104,139,131
ENSG00000111331,OAS3,18,14,68,77
ENSG00000111335,OAS2,0,0,133,44
ENSG00000135144,DTX1,10,10,39,96
ENSG00000111344,RASAL1,3,9,0,0
ENSG00000186710,CFAP73,24,26,27,16
ENSG00000123064,DDX54,48,57,98,63
ENSG00000139405,RITA1,9,9,47,64
ENSG00000166578,IQCD,0,0,0,0
ENSG00000186815,TPCN1,138,107,96,37
ENSG00000089060,SLC8B1,9,11,122,47
ENSG00000151176,PLBD2,267,267,730,377
ENSG00000135094,SDS,644,555,33,24
ENSG00000139410,SDSL,124,85,125,123
ENSG00000089116,LHX5,0,0,0,0
ENSG00000122965,RBM19,47,62,94,36
ENSG00000089225,TBX5,0,0,0,0
ENSG00000135111,TBX3,98,80,109,154
ENSG00000123066,MED13L,68,80,90,50
ENSG00000258102,MAP1LC3B2,36,33,46,23
ENSG00000111412,C12orf49,76,72,40,43
ENSG00000135119,RNFT2,40,22,7,6
ENSG00000135116,HRK,21,25,0,3
ENSG00000174989,FBXW8,6,5,70,16
ENSG00000088992,TESC,237,203,34,19
ENSG00000135108,FBXO21,28,43,82,149
