Ensembl,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000142686,12,10,37,24
ENSG00000092853,25,27,14,2
ENSG00000134698,69,56,41,21
ENSG00000092847,10,12,38,29
ENSG00000126070,175,175,61,138
ENSG00000092850,1,0,0,0
ENSG00000116863,12,6,164,41
ENSG00000171812,0,0,0,0
ENSG00000054116,86,71,197,227
ENSG00000116871,133,104,78,73
ENSG00000054118,319,311,330,185
ENSG00000214193,10,5,9,6
ENSG00000142694,31,27,34,29
ENSG00000196182,95,80,150,113
ENSG00000181817,142,150,103,100
ENSG00000116885,0,0,2,6
ENSG00000116898,365,325,368,264
ENSG00000119535,90,66,53,26
ENSG00000163873,0,0,0,0
ENSG00000163874,0,0,32,11
ENSG00000163875,85,76,94,83
ENSG00000163877,49,57,22,25
ENSG00000163879,153,147,36,2
ENSG00000134697,44,48,195,22
ENSG00000169218,0,1,0,0
ENSG00000116922,83,86,99,14
ENSG00000134690,0,0,0,2
ENSG00000183317,19,14,0,4
ENSG00000185090,0,0,0,10
ENSG00000196449,3,6,29,9
ENSG00000197982,16,23,81,81
ENSG00000188786,19,23,25,26
ENSG00000204084,209,187,21,71
ENSG00000183431,93,106,197,44
ENSG00000183386,0,0,23,17
ENSG00000183520,80,77,24,54
ENSG00000185668,0,0,0,0
ENSG00000116954,109,92,146,129
ENSG00000214114,24,25,81,44
ENSG00000274944,30,33,51,33
ENSG00000131233,1,0,3,4
ENSG00000158315,14,21,0,13
ENSG00000174574,16,15,223,123
ENSG00000168653,226,235,677,772
ENSG00000127603,661,643,337,308
ENSG00000183682,11,4,0,2
ENSG00000090621,115,124,103,151
ENSG00000163909,0,0,58,2
ENSG00000116983,0,0,0,0
ENSG00000084072,193,188,131,77
ENSG00000116985,38,49,6,3
ENSG00000198754,0,0,0,0
ENSG00000043514,34,23,36,0
ENSG00000116990,22,21,0,11
ENSG00000168389,183,176,491,96
ENSG00000131236,219,216,903,377
ENSG00000131238,1,1,492,68
ENSG00000117000,74,53,58,58
ENSG00000188800,4,2,0,0
ENSG00000084073,186,172,112,86
ENSG00000049089,32,22,0,8
ENSG00000084070,61,50,75,196
ENSG00000187801,0,0,0,4
ENSG00000187815,0,0,3,1
ENSG00000164002,21,11,54,10
ENSG00000117010,52,42,11,44
ENSG00000117016,0,0,0,10
ENSG00000066136,131,130,84,111
ENSG00000117013,0,0,0,0
ENSG00000179862,24,26,7,47
ENSG00000171793,33,34,98,94
ENSG00000171790,0,1,0,16
ENSG00000010803,42,32,35,37
ENSG00000204060,0,0,0,1
ENSG00000127129,0,0,0,0
ENSG00000127124,9,6,46,25
ENSG00000044012,0,0,21,0
ENSG00000197273,0,0,13,0
ENSG00000198815,91,84,14,57
ENSG00000177181,14,9,1,0
