Ensembl,Symbol,Disease_1,Disease_2,Disease_3
ENSG00000158715,SLC45A3,55,41,13
ENSG00000069275,NUCKS1,969,771,805
ENSG00000117280,RAB29,167,148,172
ENSG00000133065,SLC41A1,10,3,4
ENSG00000162877,PM20D1,8,6,0
ENSG00000174502,SLC26A9,0,0,1
ENSG00000276600,RAB7B,1,0,2
ENSG00000196188,CTSE,22,22,2
ENSG00000263961,C1orf186,18,26,230
ENSG00000196550,FAM72A,2,6,1
ENSG00000266028,SRGAP2,92,88,35
ENSG00000263528,IKBKE,4,1,10
ENSG00000266094,RASSF5,35,21,16
ENSG00000143486,EIF2D,82,75,49
ENSG00000143479,DYRK3,11,10,0
ENSG00000162889,MAPKAPK2,86,77,57
ENSG00000136634,IL10,8,9,15
ENSG00000162892,IL24,0,0,2
ENSG00000162894,FCMR,39,36,12
ENSG00000162896,PIGR,211,178,277
ENSG00000162897,FCAMR,74,63,0
ENSG00000182795,C1orf116,1,0,0
ENSG00000123836,PFKFB2,26,39,25
ENSG00000180667,YOD1,39,48,37
ENSG00000123843,C4BPB,1638,1376,1175
ENSG00000123838,C4BPA,3363,2771,1283
ENSG00000196352,CD55,122,117,12
ENSG00000117322,CR2,0,0,0
ENSG00000203710,CR1,21,15,5
ENSG00000197721,CR1L,12,7,0
ENSG00000117335,CD46,647,548,394
ENSG00000174059,CD34,78,73,30
ENSG00000076356,PLXNA2,81,56,26
ENSG00000008118,CAMK1G,0,0,0
ENSG00000196878,LAMB3,40,29,28
ENSG00000123689,G0S2,456,405,81
ENSG00000117594,HSD11B1,2465,2092,0
ENSG00000009790,TRAF3IP3,19,17,22
ENSG00000162757,C1orf74,20,9,22
ENSG00000117595,IRF6,120,134,54
ENSG00000117597,DIEXF,49,38,31
ENSG00000143469,SYT14,3,6,6
ENSG00000082497,SERTAD4,7,8,0
ENSG00000054392,HHAT,20,16,81
ENSG00000143473,KCNH1,2,2,1
ENSG00000117625,RCOR3,164,137,106
ENSG00000082512,TRAF5,36,27,108
ENSG00000198570,RD3,1,4,3
ENSG00000170385,SLC30A1,263,228,155
ENSG00000117650,NEK2,5,10,19
ENSG00000123684,LPGAT1,157,174,410
ENSG00000143493,INTS7,16,11,92
ENSG00000143476,DTL,0,0,30
ENSG00000066027,PPP2R5A,296,236,169
ENSG00000065600,TMEM206,8,7,9
ENSG00000117691,NENF,511,425,453
ENSG00000162772,ATF3,295,247,58
ENSG00000123685,BATF3,0,0,6
ENSG00000117697,NSL1,106,95,65
ENSG00000203705,TATDN3,36,32,35
ENSG00000185523,SPATA45,3,0,0
ENSG00000162769,FLVCR1,185,173,172
ENSG00000143494,VASH2,15,9,15
ENSG00000174606,ANGEL2,48,37,57
ENSG00000136643,RPS6KC1,37,36,68
ENSG00000117707,PROX1,1031,838,761
ENSG00000143499,SMYD2,138,109,174
ENSG00000152104,PTPN14,57,45,215
ENSG00000117724,CENPF,8,7,83
ENSG00000082482,KCNK2,2,0,0
ENSG00000136636,KCTD3,140,135,147
ENSG00000042781,USH2A,181,154,9
ENSG00000196482,ESRRG,80,67,10
ENSG00000092978,GPATCH2,71,42,51
ENSG00000162814,SPATA17,6,10,3
ENSG00000067533,RRP15,96,73,113
ENSG00000092969,TGFB2,0,0,0
ENSG00000143353,LYPLAL1,110,84,69
ENSG00000196660,SLC30A10,128,96,98
ENSG00000136628,EPRS,244,188,145
ENSG00000162813,BPNT1,61,53,66
ENSG00000067704,IARS2,242,222,244
ENSG00000118873,RAB3GAP2,171,128,92
ENSG00000116141,MARK1,0,0,0
ENSG00000162817,C1orf115,550,420,255
ENSG00000117791,2-Mar,649,497,210
ENSG00000186205,1-Mar,454,378,75
ENSG00000136630,HLX,33,29,3
ENSG00000143507,DUSP10,114,93,43
ENSG00000143512,HHIPL2,0,0,0
ENSG00000143498,TAF1A,4,5,18
ENSG00000154305,MIA3,344,269,200
ENSG00000186063,AIDA,199,154,145
ENSG00000162819,BROX,92,81,137
ENSG00000197520,FAM177B,24,29,18
ENSG00000154309,DISP1,21,17,11
ENSG00000187554,TLR5,8,7,9
ENSG00000143502,SUSD4,30,30,37
ENSG00000203697,CAPN8,1,3,3
ENSG00000162909,CAPN2,132,135,191
ENSG00000143514,TP53BP2,123,87,149
ENSG00000143756,FBXO28,114,109,21
ENSG00000143753,DEGS1,35,33,78
ENSG00000143748,NVL,68,51,37
ENSG00000143771,CNIH4,105,77,176
ENSG00000162923,WDR26,207,165,159
ENSG00000143786,CNIH3,1,1,6
ENSG00000185842,DNAH14,79,60,88
ENSG00000143815,LBR,102,104,324
ENSG00000154380,ENAH,149,126,341
ENSG00000143742,SRP9,752,678,283
ENSG00000143819,EPHX1,3773,3016,1097
ENSG00000196187,TMEM63A,593,464,140
ENSG00000243709,LEFTY1,0,0,0
ENSG00000255835,AL117348.2,42,32,6
ENSG00000143811,PYCR2,115,83,46
ENSG00000143768,LEFTY2,0,0,0
ENSG00000143751,SDE2,47,30,58
ENSG00000163041,H3F3A,1952,1692,1946
ENSG00000182827,ACBD3,142,94,89
ENSG00000185155,MIXL1,7,1011,9
ENSG00000183814,LIN9,1,0,18
ENSG00000143799,PARP1,223,181,342
ENSG00000203685,STUM,0,0,0
ENSG00000143772,ITPKB,24,20,55
