Ensembl,Disease_1,Disease_2,Disease_3
ENSG00000020633,8,13,32
ENSG00000117614,97,79,62
ENSG00000117616,174,147,104
ENSG00000187010,10,10,19
ENSG00000183726,88,55,71
ENSG00000188672,6,14,10
ENSG00000204178,141,91,42
ENSG00000157978,157,130,25
ENSG00000117643,114,101,9
ENSG00000162430,78,74,148
ENSG00000255054,23,22,26
ENSG00000117640,281,231,92
ENSG00000127423,57,48,6
ENSG00000182749,56,55,21
ENSG00000117632,84,82,140
ENSG00000158006,132,111,44
ENSG00000158008,0,0,0
ENSG00000158014,6,6,8
ENSG00000158022,0,0,0
ENSG00000175087,10,13,4
ENSG00000197245,7,4,0
ENSG00000142684,224,220,61
ENSG00000142675,47,36,1
ENSG00000130695,21,22,3
ENSG00000142669,649,533,526
ENSG00000158062,204,183,226
ENSG00000169442,80,59,115
ENSG00000176092,9,6,0
ENSG00000176083,0,2,3
ENSG00000131914,14,16,12
ENSG00000117682,93,79,68
ENSG00000198830,1176,970,1105
ENSG00000117676,61,36,15
ENSG00000117713,389,253,283
ENSG00000060642,212,160,20
ENSG00000204160,34,38,33
ENSG00000175793,0,0,0
ENSG00000142751,124,95,34
ENSG00000198746,62,68,10
ENSG00000090273,620,465,219
ENSG00000131910,1498,1227,167
ENSG00000175707,43,21,0
ENSG00000253368,2,1,20
ENSG00000158246,0,0,0
ENSG00000090020,93,78,19
ENSG00000142784,106,88,21
ENSG00000186501,238,223,118
ENSG00000142765,40,34,32
ENSG00000142733,15,12,26
ENSG00000142748,596,531,0
ENSG00000174950,0,0,0
ENSG00000181773,0,0,0
ENSG00000158195,318,322,180
ENSG00000126705,19,17,8
ENSG00000000938,34,34,7
ENSG00000126709,961,796,310
ENSG00000009780,29,34,27
ENSG00000117758,114,111,17
ENSG00000117751,20,12,56
ENSG00000130775,24,16,40
ENSG00000117748,104,88,41
ENSG00000130768,1,2,0
ENSG00000158156,106,78,43
ENSG00000158161,66,56,55
ENSG00000169403,13,11,54
ENSG00000126698,196,139,219
ENSG00000130770,1018,828,593
ENSG00000130766,88,71,33
ENSG00000130772,114,101,44
ENSG00000204138,513,388,282
ENSG00000180198,11,10,36
ENSG00000180098,65,50,57
ENSG00000120656,61,48,27
ENSG00000188060,24,9,35
ENSG00000162419,65,49,68
ENSG00000198492,175,129,90
ENSG00000116329,13,12,28
ENSG00000159023,142,116,50
ENSG00000253304,73,57,101
ENSG00000116350,116,79,82
ENSG00000116353,119,83,50
ENSG00000060656,97,83,6
ENSG00000162510,0,0,0
ENSG00000162511,194,159,156
ENSG00000162512,156,118,42
ENSG00000134644,225,220,163
ENSG00000084628,0,0,0
ENSG00000060688,49,46,17
ENSG00000121766,90,52,76
ENSG00000121769,8,12,5
ENSG00000168528,642,530,583
ENSG00000142910,22,39,17
ENSG00000121764,10,14,3
ENSG00000162517,231,201,132
ENSG00000084636,11,10,0
ENSG00000121753,2,0,0
ENSG00000134668,2,4,10
ENSG00000184007,403,327,182
ENSG00000121774,172,126,179
ENSG00000121775,16,12,26
ENSG00000025800,403,325,139
ENSG00000084652,254,200,197
ENSG00000160050,25,15,14
ENSG00000160051,4,5,10
ENSG00000222046,18,15,4
ENSG00000160055,64,42,14
ENSG00000084623,599,441,220
ENSG00000183615,42,42,4
ENSG00000182866,4,3,3
ENSG00000116478,97,70,56
ENSG00000175130,107,104,41
ENSG00000162526,22,11,15
ENSG00000225828,38,29,16
ENSG00000160058,322,244,170
ENSG00000254553,4,1,5
